epoch,step,train_loss,val_accuracy,val_loss,val_precision,val_recall
0,79,,0.5424528121948242,6.711172580718994,0.2968553900718689,0.20335426926612854
0,79,6.410284996032715,,,,
1,159,,0.6320754885673523,6.359848499298096,0.3962264060974121,0.23123687505722046
1,159,6.496032238006592,,,,
2,239,,0.6273584961891174,6.391549587249756,0.3689727187156677,0.1968553215265274
2,239,6.4760894775390625,,,,
3,319,,0.6226415038108826,6.391504764556885,0.45492658019065857,0.3041929006576538
3,319,6.478816509246826,,,,
4,399,,0.606918215751648,6.436929225921631,0.30188679695129395,0.1486372947692871
4,399,6.388791084289551,,,,
